@20230812_0143 @20230812_0143 [EP 1/300] lr: 0.0007867820095270872, took: 108.36s (avg: 108.36s), ETA: 0d:8h:58m:12s [TRAIN] loss: 12228.8379, iou: 0.0103, f1: 0.0198 [EVAL] loss: 7978.3643, iou: 0.0036, f1: 0.0071
@20230812_0144 @20230812_0144 [EP 2/300] lr: 0.0007739338907413185, took: 61.48s (avg: 61.48s), ETA: 0d:5h:2m:58s [TRAIN] loss: 2518.7341, iou: 0.1117, f1: 0.1951 [EVAL] loss: 4418.4014, iou: 0.0163, f1: 0.0298
@20230812_0145 @20230812_0145 [EP 3/300] lr: 0.0007614986388944089, took: 61.64s (avg: 61.64s), ETA: 0d:5h:1m:57s [TRAIN] loss: 1525.4149, iou: 0.2084, f1: 0.3384 [EVAL] loss: 3898.0808, iou: 0.0441, f1: 0.0801
@20230812_0146 @20230812_0146 [EP 4/300] lr: 0.0007494565797969699, took: 61.69s (avg: 61.69s), ETA: 0d:5h:0m:56s [TRAIN] loss: 1215.9186, iou: 0.2672, f1: 0.4153 [EVAL] loss: 1765.1549, iou: 0.2652, f1: 0.4165
@20230812_0148 @20230812_0148 [EP 5/300] lr: 0.0007377894944511354, took: 61.75s (avg: 61.75s), ETA: 0d:4h:59m:55s [TRAIN] loss: 1064.5084, iou: 0.3063, f1: 0.4627 [EVAL] loss: 2091.9062, iou: 0.2543, f1: 0.4019
@20230812_0149 @20230812_0149 [EP 6/300] lr: 0.000726480211596936, took: 61.75s (avg: 61.75s), ETA: 0d:4h:58m:54s [TRAIN] loss: 988.8466, iou: 0.3365, f1: 0.4978 [EVAL] loss: 1997.1746, iou: 0.2290, f1: 0.3696
@20230812_0150 @20230812_0150 [EP 7/300] lr: 0.0007155122584663332, took: 61.69s (avg: 61.69s), ETA: 0d:4h:57m:53s [TRAIN] loss: 910.3466, iou: 0.3682, f1: 0.5329 [EVAL] loss: 1310.3580, iou: 0.3601, f1: 0.5266
@20230812_0151 @20230812_0151 [EP 8/300] lr: 0.0007048706174828112, took: 61.77s (avg: 61.77s), ETA: 0d:4h:56m:52s [TRAIN] loss: 831.6961, iou: 0.3942, f1: 0.5602 [EVAL] loss: 1942.5175, iou: 0.2689, f1: 0.4209
@20230812_0152 @20230812_0152 [EP 9/300] lr: 0.0006945409113541245, took: 61.65s (avg: 61.65s), ETA: 0d:4h:55m:51s [TRAIN] loss: 802.2114, iou: 0.4147, f1: 0.5814 [EVAL] loss: 3085.6450, iou: 0.1563, f1: 0.2653
@20230812_0153 @20230812_0153 [EP 10/300] lr: 0.0006845095194876194, took: 61.61s (avg: 61.61s), ETA: 0d:4h:54m:50s [TRAIN] loss: 762.7493, iou: 0.4304, f1: 0.5970 [EVAL] loss: 2523.0591, iou: 0.2007, f1: 0.3280
@20230812_0154 @20230812_0154 [EP 11/300] lr: 0.0006747638108208776, took: 61.72s (avg: 61.72s), ETA: 0d:4h:53m:49s [TRAIN] loss: 731.6134, iou: 0.4508, f1: 0.6171 [EVAL] loss: 2315.3684, iou: 0.2573, f1: 0.4039
@20230812_0155 @20230812_0155 [EP 12/300] lr: 0.000665291678160429, took: 61.74s (avg: 61.74s), ETA: 0d:4h:52m:48s [TRAIN] loss: 706.6503, iou: 0.4688, f1: 0.6342 [EVAL] loss: 1586.0322, iou: 0.3442, f1: 0.5085
@20230812_0156 @20230812_0156 [EP 13/300] lr: 0.0006560818874277174, took: 61.69s (avg: 61.69s), ETA: 0d:4h:51m:47s [TRAIN] loss: 677.2463, iou: 0.4819, f1: 0.6463 [EVAL] loss: 2924.2444, iou: 0.1524, f1: 0.2598
@20230812_0157 @20230812_0157 [EP 14/300] lr: 0.0006471234955824912, took: 61.77s (avg: 61.77s), ETA: 0d:4h:50m:46s [TRAIN] loss: 837.9670, iou: 0.4558, f1: 0.6212 [EVAL] loss: 2987.1074, iou: 0.2224, f1: 0.3577
@20230812_0158 @20230812_0158 [EP 15/300] lr: 0.0006384065491147339, took: 61.67s (avg: 61.67s), ETA: 0d:4h:49m:45s [TRAIN] loss: 815.1395, iou: 0.4644, f1: 0.6301 [EVAL] loss: 2675.1992, iou: 0.2245, f1: 0.3605
@20230812_0159 @20230812_0159 [EP 16/300] lr: 0.0006299212691374123, took: 61.73s (avg: 61.73s), ETA: 0d:4h:48m:44s [TRAIN] loss: 688.3719, iou: 0.5028, f1: 0.6656 [EVAL] loss: 2864.9626, iou: 0.2063, f1: 0.3345
@20230812_0200 @20230812_0200 [EP 17/300] lr: 0.0006216585752554238, took: 61.68s (avg: 61.68s), ETA: 0d:4h:47m:43s [TRAIN] loss: 664.0860, iou: 0.5242, f1: 0.6846 [EVAL] loss: 1080.1058, iou: 0.4963, f1: 0.6612
@20230812_0202 @20230812_0202 [EP 18/300] lr: 0.0006136098527349532, took: 61.83s (avg: 61.83s), ETA: 0d:4h:46m:42s [TRAIN] loss: 619.2539, iou: 0.5432, f1: 0.7011 [EVAL] loss: 2255.2014, iou: 0.3524, f1: 0.5162
@20230812_0203 @20230812_0203 [EP 19/300] lr: 0.0006057668360881507, took: 61.74s (avg: 61.74s), ETA: 0d:4h:45m:41s [TRAIN] loss: 617.9796, iou: 0.5513, f1: 0.7079 [EVAL] loss: 2840.4021, iou: 0.2912, f1: 0.4450
@20230812_0204 @20230812_0204 [EP 20/300] lr: 0.0005981219001114368, took: 61.68s (avg: 61.68s), ETA: 0d:4h:44m:40s [TRAIN] loss: 578.4677, iou: 0.5681, f1: 0.7218 [EVAL] loss: 2642.0911, iou: 0.3020, f1: 0.4596
@20230812_0205 @20230812_0205 [EP 21/300] lr: 0.0005906674196012318, took: 61.60s (avg: 61.60s), ETA: 0d:4h:43m:39s [TRAIN] loss: 594.1274, iou: 0.5687, f1: 0.7224 [EVAL] loss: 2216.5842, iou: 0.3867, f1: 0.5547
@20230812_0206 @20230812_0206 [EP 22/300] lr: 0.0005833965260535479, took: 61.76s (avg: 61.76s), ETA: 0d:4h:42m:38s [TRAIN] loss: 582.4163, iou: 0.5794, f1: 0.7311 [EVAL] loss: 1556.8824, iou: 0.4478, f1: 0.6153
@20230812_0207 @20230812_0207 [EP 23/300] lr: 0.0005763024091720581, took: 61.64s (avg: 61.64s), ETA: 0d:4h:41m:37s [TRAIN] loss: 539.9308, iou: 0.5952, f1: 0.7437 [EVAL] loss: 1228.3054, iou: 0.5222, f1: 0.6831
@20230812_0208 @20230812_0208 [EP 24/300] lr: 0.0005693787825293839, took: 61.73s (avg: 61.73s), ETA: 0d:4h:40m:36s [TRAIN] loss: 535.1055, iou: 0.6055, f1: 0.7521 [EVAL] loss: 1759.4510, iou: 0.4326, f1: 0.6005
@20230812_0209 @20230812_0209 [EP 25/300] lr: 0.0005626195343211293, took: 61.79s (avg: 61.79s), ETA: 0d:4h:39m:35s [TRAIN] loss: 534.6407, iou: 0.6166, f1: 0.7608 [EVAL] loss: 3859.8401, iou: 0.0951, f1: 0.1637
@20230812_0210 @20230812_0210 [EP 26/300] lr: 0.000556018843781203, took: 61.73s (avg: 61.73s), ETA: 0d:4h:38m:34s [TRAIN] loss: 530.0089, iou: 0.6176, f1: 0.7614 [EVAL] loss: 2490.7512, iou: 0.3541, f1: 0.5149
@20230812_0211 @20230812_0211 [EP 27/300] lr: 0.0005495712975971401, took: 61.74s (avg: 61.74s), ETA: 0d:4h:37m:33s [TRAIN] loss: 515.4463, iou: 0.6306, f1: 0.7715 [EVAL] loss: 1422.1798, iou: 0.4968, f1: 0.6601
@20230812_0212 @20230812_0212 [EP 28/300] lr: 0.0005432715406641364, took: 61.81s (avg: 61.81s), ETA: 0d:4h:36m:32s [TRAIN] loss: 510.7799, iou: 0.6380, f1: 0.7771 [EVAL] loss: 298819.5312, iou: 0.0102, f1: 0.0201
