

** [ETRI] Launch Training on 20230605_1912
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230606_0633 [EP 83/500] took: 0h:8m:11s, ETA: 2d:8h:52m:27s [TRAIN] loss: 0.0347, accu-50: 96.59%, iou: 93.31%, f1: 96.53% 809.13ms [EVAL] [1/138 step] loss: 0.0750, accu-50: 91.75%, iou: 85.36%, f1: 91.78%, 224.65ms
@20230606_0641 [EP 84/500] took: 0h:8m:11s, ETA: 2d:8h:44m:16s [TRAIN] loss: 0.0343, accu-50: 96.60%, iou: 93.37%, f1: 96.57% 809.35ms [EVAL] [1/138 step] loss: 0.0912, accu-50: 92.52%, iou: 82.62%, f1: 90.16%, 224.83ms
@20230606_0649 [EP 85/500] took: 0h:8m:11s, ETA: 2d:8h:36m:5s [TRAIN] loss: 0.0347, accu-50: 96.55%, iou: 93.30%, f1: 96.53% 809.54ms [EVAL] [1/138 step] loss: 0.0786, accu-50: 87.24%, iou: 84.75%, f1: 91.42%, 224.87ms
@20230606_0657 [EP 86/500] took: 0h:8m:11s, ETA: 2d:8h:27m:54s [TRAIN] loss: 0.0344, accu-50: 96.58%, iou: 93.35%, f1: 96.56% 809.13ms [EVAL] [1/138 step] loss: 0.0538, accu-50: 93.21%, iou: 89.08%, f1: 93.90%, 224.46ms
@20230606_0705 [EP 87/500] took: 0h:8m:11s, ETA: 2d:8h:19m:43s [TRAIN] loss: 0.0340, accu-50: 96.62%, iou: 93.43%, f1: 96.60% 809.18ms [EVAL] [1/138 step] loss: 0.0544, accu-50: 92.35%, iou: 88.98%, f1: 93.84%, 224.90ms
@20230606_0713 [EP 88/500] took: 0h:8m:11s, ETA: 2d:8h:11m:32s [TRAIN] loss: 0.0342, accu-50: 96.63%, iou: 93.40%, f1: 96.58% 809.27ms [EVAL] [1/138 step] loss: 0.0597, accu-50: 94.27%, iou: 88.03%, f1: 93.31%, 224.58ms
@20230606_0722 [EP 89/500] took: 0h:8m:11s, ETA: 2d:8h:3m:21s [TRAIN] loss: 0.0342, accu-50: 96.63%, iou: 93.40%, f1: 96.58% 809.00ms [EVAL] [1/138 step] loss: 0.0618, accu-50: 91.94%, iou: 87.67%, f1: 93.10%, 224.88ms
@20230606_0730 [EP 90/500] took: 0h:8m:11s, ETA: 2d:7h:55m:10s [TRAIN] loss: 0.0342, accu-50: 96.60%, iou: 93.40%, f1: 96.58% 808.98ms [EVAL] [1/138 step] loss: 0.0810, accu-50: 90.01%, iou: 84.33%, f1: 91.18%, 224.88ms
@20230606_0738 [EP 91/500] took: 0h:8m:11s, ETA: 2d:7h:46m:59s [TRAIN] loss: 0.0336, accu-50: 96.65%, iou: 93.51%, f1: 96.64% 808.98ms [EVAL] [1/138 step] loss: 0.0528, accu-50: 93.46%, iou: 89.27%, f1: 94.00%, 224.55ms
@20230606_0746 [EP 92/500] took: 0h:8m:11s, ETA: 2d:7h:38m:48s [TRAIN] loss: 0.0331, accu-50: 96.67%, iou: 93.61%, f1: 96.69% 809.22ms [EVAL] [1/138 step] loss: 0.0545, accu-50: 94.06%, iou: 88.96%, f1: 93.83%, 224.90ms
@20230606_0754 [EP 93/500] took: 0h:8m:11s, ETA: 2d:7h:30m:37s [TRAIN] loss: 0.0332, accu-50: 96.67%, iou: 93.57%, f1: 96.68% 808.95ms [EVAL] [1/138 step] loss: 0.0761, accu-50: 90.21%, iou: 85.17%, f1: 91.67%, 224.90ms
@20230606_0802 [EP 94/500] took: 0h:8m:10s, ETA: 2d:7h:15m:40s [TRAIN] loss: 0.0332, accu-50: 96.69%, iou: 93.59%, f1: 96.68% 809.06ms [EVAL] [1/138 step] loss: 0.0599, accu-50: 91.59%, iou: 88.00%, f1: 93.29%, 224.89ms
@20230606_0810 [EP 95/500] took: 0h:8m:10s, ETA: 2d:7h:7m:30s [TRAIN] loss: 0.0333, accu-50: 96.68%, iou: 93.55%, f1: 96.67% 809.30ms [EVAL] [1/138 step] loss: 0.0529, accu-50: 93.78%, iou: 89.25%, f1: 93.99%, 224.77ms
@20230606_0819 [EP 96/500] took: 0h:8m:10s, ETA: 2d:6h:59m:20s [TRAIN] loss: 0.0337, accu-50: 96.68%, iou: 93.48%, f1: 96.63% 809.12ms [EVAL] [1/138 step] loss: 0.0546, accu-50: 92.71%, iou: 88.94%, f1: 93.82%, 224.50ms
@20230606_0827 [EP 97/500] took: 0h:8m:10s, ETA: 2d:6h:51m:10s [TRAIN] loss: 0.0336, accu-50: 96.64%, iou: 93.50%, f1: 96.64% 809.08ms [EVAL] [1/138 step] loss: 0.0753, accu-50: 94.18%, iou: 85.31%, f1: 91.75%, 224.78ms
@20230606_0835 [EP 98/500] took: 0h:8m:10s, ETA: 2d:6h:43m:0s [TRAIN] loss: 0.0335, accu-50: 96.67%, iou: 93.53%, f1: 96.65% 809.13ms [EVAL] [1/138 step] loss: 0.0817, accu-50: 89.88%, iou: 84.22%, f1: 91.12%, 224.76ms
@20230606_0843 [EP 99/500] took: 0h:8m:10s, ETA: 2d:6h:34m:50s [TRAIN] loss: 0.0331, accu-50: 96.69%, iou: 93.59%, f1: 96.69% 809.29ms [EVAL] [1/138 step] loss: 0.0524, accu-50: 94.86%, iou: 89.33%, f1: 94.04%, 224.81ms
@20230606_0851 [EP 100/500] took: 0h:8m:10s, ETA: 2d:6h:26m:40s [TRAIN] loss: 0.0331, accu-50: 96.71%, iou: 93.60%, f1: 96.69% 809.35ms [EVAL] [1/138 step] loss: 0.0615, accu-50: 94.53%, iou: 87.72%, f1: 93.13%, 224.73ms
@20230606_0900 [EP 101/500] took: 0h:8m:10s, ETA: 2d:6h:18m:30s [TRAIN] loss: 0.0331, accu-50: 96.67%, iou: 93.60%, f1: 96.69% 809.35ms [EVAL] [1/138 step] loss: 0.0760, accu-50: 94.19%, iou: 85.19%, f1: 91.68%, 224.87ms
@20230606_0908 [EP 102/500] took: 0h:8m:10s, ETA: 2d:6h:10m:20s [TRAIN] loss: 0.0329, accu-50: 96.73%, iou: 93.63%, f1: 96.71% 809.28ms [EVAL] [1/138 step] loss: 0.0783, accu-50: 94.42%, iou: 84.80%, f1: 91.45%, 224.88ms
@20230606_0916 [EP 103/500] took: 0h:8m:10s, ETA: 2d:6h:2m:10s [TRAIN] loss: 0.0327, accu-50: 96.73%, iou: 93.68%, f1: 96.73% 809.12ms [EVAL] [1/138 step] loss: 0.0677, accu-50: 97.06%, iou: 86.63%, f1: 92.51%, 225.18ms
@20230606_0924 [EP 104/500] took: 0h:8m:10s, ETA: 2d:5h:54m:0s [TRAIN] loss: 0.0323, accu-50: 96.80%, iou: 93.75%, f1: 96.77% 809.41ms [EVAL] [1/138 step] loss: 0.0790, accu-50: 93.49%, iou: 84.68%, f1: 91.38%, 225.02ms
@20230606_0932 [EP 105/500] took: 0h:8m:10s, ETA: 2d:5h:45m:50s [TRAIN] loss: 0.0325, accu-50: 96.77%, iou: 93.71%, f1: 96.75% 809.07ms [EVAL] [1/138 step] loss: 0.0722, accu-50: 94.00%, iou: 85.84%, f1: 92.06%, 224.54ms
@20230606_0940 [EP 106/500] took: 0h:8m:10s, ETA: 2d:5h:37m:40s [TRAIN] loss: 0.0322, accu-50: 96.76%, iou: 93.77%, f1: 96.78% 809.17ms [EVAL] [1/138 step] loss: 0.0627, accu-50: 95.50%, iou: 87.50%, f1: 93.01%, 224.54ms
@20230606_0948 [EP 107/500] took: 0h:8m:10s, ETA: 2d:5h:29m:30s [TRAIN] loss: 0.0322, accu-50: 96.80%, iou: 93.77%, f1: 96.78% 809.20ms [EVAL] [1/138 step] loss: 0.0534, accu-50: 93.52%, iou: 89.16%, f1: 93.94%, 224.85ms
@20230606_0957 [EP 108/500] took: 0h:8m:10s, ETA: 2d:5h:21m:20s [TRAIN] loss: 0.0319, accu-50: 96.87%, iou: 93.82%, f1: 96.81% 809.16ms [EVAL] [1/138 step] loss: 0.0548, accu-50: 94.53%, iou: 88.91%, f1: 93.80%, 225.07ms
@20230606_1005 [EP 109/500] took: 0h:8m:10s, ETA: 2d:5h:13m:10s [TRAIN] loss: 0.0321, accu-50: 96.82%, iou: 93.78%, f1: 96.79% 809.05ms [EVAL] [1/138 step] loss: 0.0586, accu-50: 91.86%, iou: 88.23%, f1: 93.42%, 225.17ms
@20230606_1013 [EP 110/500] took: 0h:8m:10s, ETA: 2d:5h:5m:0s [TRAIN] loss: 0.0320, accu-50: 96.83%, iou: 93.80%, f1: 96.80% 809.15ms [EVAL] [1/138 step] loss: 0.0600, accu-50: 94.00%, iou: 87.98%, f1: 93.28%, 224.60ms
@20230606_1021 [EP 111/500] took: 0h:8m:10s, ETA: 2d:4h:56m:50s [TRAIN] loss: 0.0321, accu-50: 96.79%, iou: 93.79%, f1: 96.79% 809.09ms [EVAL] [1/138 step] loss: 0.0842, accu-50: 94.91%, iou: 83.80%, f1: 90.86%, 224.23ms
@20230606_1029 [EP 112/500] took: 0h:8m:10s, ETA: 2d:4h:48m:40s [TRAIN] loss: 0.0319, accu-50: 96.82%, iou: 93.82%, f1: 96.81% 809.01ms [EVAL] [1/138 step] loss: 0.0615, accu-50: 90.53%, iou: 87.71%, f1: 93.13%, 224.98ms
@20230606_1037 [EP 113/500] took: 0h:8m:10s, ETA: 2d:4h:40m:30s [TRAIN] loss: 0.0319, accu-50: 96.84%, iou: 93.82%, f1: 96.81% 808.93ms [EVAL] [1/138 step] loss: 0.1098, accu-50: 88.72%, iou: 79.57%, f1: 88.30%, 224.61ms
@20230606_1045 [EP 114/500] took: 0h:8m:10s, ETA: 2d:4h:32m:20s [TRAIN] loss: 0.0317, accu-50: 96.91%, iou: 93.87%, f1: 96.83% 809.02ms [EVAL] [1/138 step] loss: 0.1243, accu-50: 93.63%, iou: 77.27%, f1: 86.85%, 224.98ms
@20230606_1054 [EP 115/500] took: 0h:8m:10s, ETA: 2d:4h:24m:10s [TRAIN] loss: 0.0318, accu-50: 96.84%, iou: 93.83%, f1: 96.82% 808.94ms [EVAL] [1/138 step] loss: 0.0973, accu-50: 90.49%, iou: 81.64%, f1: 89.56%, 224.71ms
@20230606_1102 [EP 116/500] took: 0h:8m:10s, ETA: 2d:4h:16m:0s [TRAIN] loss: 0.0316, accu-50: 96.83%, iou: 93.87%, f1: 96.84% 808.97ms [EVAL] [1/138 step] loss: 0.0578, accu-50: 92.34%, iou: 88.37%, f1: 93.50%, 224.94ms
@20230606_1110 [EP 117/500] took: 0h:8m:10s, ETA: 2d:4h:7m:50s [TRAIN] loss: 0.0314, accu-50: 96.83%, iou: 93.91%, f1: 96.86% 808.91ms [EVAL] [1/138 step] loss: 0.0557, accu-50: 93.18%, iou: 88.75%, f1: 93.71%, 224.85ms
@20230606_1118 [EP 118/500] took: 0h:8m:10s, ETA: 2d:3h:59m:40s [TRAIN] loss: 0.0314, accu-50: 96.84%, iou: 93.93%, f1: 96.86% 809.11ms [EVAL] [1/138 step] loss: 0.0532, accu-50: 93.09%, iou: 89.20%, f1: 93.96%, 224.74ms
@20230606_1126 [EP 119/500] took: 0h:8m:10s, ETA: 2d:3h:51m:30s [TRAIN] loss: 0.0313, accu-50: 96.88%, iou: 93.94%, f1: 96.87% 808.96ms [EVAL] [1/138 step] loss: 0.0500, accu-50: 94.10%, iou: 89.77%, f1: 94.28%, 224.77ms
@20230606_1134 [EP 120/500] took: 0h:8m:10s, ETA: 2d:3h:43m:20s [TRAIN] loss: 0.0312, accu-50: 96.90%, iou: 93.96%, f1: 96.88% 809.38ms [EVAL] [1/138 step] loss: 0.0514, accu-50: 95.09%, iou: 89.51%, f1: 94.14%, 225.02ms
@20230606_1143 [EP 121/500] took: 0h:8m:10s, ETA: 2d:3h:35m:10s [TRAIN] loss: 0.0311, accu-50: 96.90%, iou: 93.97%, f1: 96.89% 809.45ms [EVAL] [1/138 step] loss: 0.0677, accu-50: 90.43%, iou: 86.62%, f1: 92.51%, 224.99ms
@20230606_1151 [EP 122/500] took: 0h:8m:10s, ETA: 2d:3h:27m:0s [TRAIN] loss: 0.0310, accu-50: 96.86%, iou: 93.99%, f1: 96.90% 809.14ms [EVAL] [1/138 step] loss: 0.0855, accu-50: 91.66%, iou: 83.59%, f1: 90.73%, 224.55ms
@20230606_1159 [EP 123/500] took: 0h:8m:10s, ETA: 2d:3h:18m:50s [TRAIN] loss: 0.0310, accu-50: 96.85%, iou: 93.99%, f1: 96.90% 809.49ms [EVAL] [1/138 step] loss: 0.0642, accu-50: 94.17%, iou: 87.24%, f1: 92.86%, 224.57ms
@20230606_1207 [EP 124/500] took: 0h:8m:10s, ETA: 2d:3h:10m:40s [TRAIN] loss: 0.0310, accu-50: 96.91%, iou: 93.99%, f1: 96.90% 809.28ms [EVAL] [1/138 step] loss: 0.0646, accu-50: 93.31%, iou: 87.18%, f1: 92.82%, 224.84ms
@20230606_1215 [EP 125/500] took: 0h:8m:10s, ETA: 2d:3h:2m:30s [TRAIN] loss: 0.0310, accu-50: 96.85%, iou: 94.00%, f1: 96.90% 809.08ms [EVAL] [1/138 step] loss: 0.0667, accu-50: 93.53%, iou: 86.81%, f1: 92.62%, 224.81ms
@20230606_1223 [EP 126/500] took: 0h:8m:10s, ETA: 2d:2h:54m:20s [TRAIN] loss: 0.0310, accu-50: 96.86%, iou: 94.00%, f1: 96.90% 809.13ms [EVAL] [1/138 step] loss: 0.0776, accu-50: 89.35%, iou: 84.93%, f1: 91.52%, 224.73ms
@20230606_1231 [EP 127/500] took: 0h:8m:10s, ETA: 2d:2h:46m:10s [TRAIN] loss: 0.0309, accu-50: 96.87%, iou: 94.01%, f1: 96.91% 809.42ms [EVAL] [1/138 step] loss: 0.0624, accu-50: 92.18%, iou: 87.56%, f1: 93.04%, 224.67ms
@20230606_1240 [EP 128/500] took: 0h:8m:10s, ETA: 2d:2h:38m:0s [TRAIN] loss: 0.0309, accu-50: 96.82%, iou: 94.01%, f1: 96.91% 809.44ms [EVAL] [1/138 step] loss: 0.0533, accu-50: 96.20%, iou: 89.17%, f1: 93.95%, 224.70ms
@20230606_1248 [EP 129/500] took: 0h:8m:10s, ETA: 2d:2h:29m:50s [TRAIN] loss: 0.0304, accu-50: 96.90%, iou: 94.10%, f1: 96.96% 809.31ms [EVAL] [1/138 step] loss: 0.0872, accu-50: 93.42%, iou: 83.29%, f1: 90.56%, 225.00ms
@20230606_1256 [EP 130/500] took: 0h:8m:10s, ETA: 2d:2h:21m:40s [TRAIN] loss: 0.0307, accu-50: 96.88%, iou: 94.05%, f1: 96.93% 809.59ms [EVAL] [1/138 step] loss: 0.0650, accu-50: 95.07%, iou: 87.11%, f1: 92.79%, 224.67ms
@20230606_1304 [EP 131/500] took: 0h:8m:10s, ETA: 2d:2h:13m:30s [TRAIN] loss: 0.0306, accu-50: 96.91%, iou: 94.07%, f1: 96.94% 809.44ms [EVAL] [1/138 step] loss: 0.0836, accu-50: 92.00%, iou: 83.90%, f1: 90.92%, 224.51ms
@20230606_1312 [EP 132/500] took: 0h:8m:10s, ETA: 2d:2h:5m:20s [TRAIN] loss: 0.0305, accu-50: 96.94%, iou: 94.09%, f1: 96.95% 809.40ms [EVAL] [1/138 step] loss: 0.0731, accu-50: 96.30%, iou: 85.69%, f1: 91.97%, 224.79ms
@20230606_1320 [EP 133/500] took: 0h:8m:10s, ETA: 2d:1h:57m:10s [TRAIN] loss: 0.0305, accu-50: 96.94%, iou: 94.08%, f1: 96.95% 809.76ms [EVAL] [1/138 step] loss: 0.1852, accu-50: 92.21%, iou: 68.32%, f1: 80.76%, 224.44ms
@20230606_1328 [EP 134/500] took: 0h:8m:10s, ETA: 2d:1h:49m:0s [TRAIN] loss: 0.0304, accu-50: 96.93%, iou: 94.10%, f1: 96.96% 809.46ms [EVAL] [1/138 step] loss: 0.0579, accu-50: 96.93%, iou: 88.36%, f1: 93.49%, 224.56ms
@20230606_1337 [EP 135/500] took: 0h:8m:10s, ETA: 2d:1h:40m:50s [TRAIN] loss: 0.0305, accu-50: 96.95%, iou: 94.09%, f1: 96.95% 809.35ms [EVAL] [1/138 step] loss: 0.0768, accu-50: 94.67%, iou: 85.06%, f1: 91.60%, 224.52ms
@20230606_1345 [EP 136/500] took: 0h:8m:10s, ETA: 2d:1h:32m:40s [TRAIN] loss: 0.0301, accu-50: 96.98%, iou: 94.17%, f1: 96.99% 809.66ms [EVAL] [1/138 step] loss: 0.0514, accu-50: 95.70%, iou: 89.52%, f1: 94.14%, 225.07ms
