

** [ETRI] Launch Training on 20230605_1912
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230605_2142 [EP 18/500] took: 0h:8m:20s, ETA: 2d:18h:56m:40s [TRAIN] loss: 0.0572, accu-50: 94.06%, iou: 89.21%, f1: 94.28% 810.87ms [EVAL] [1/138 step] loss: 0.0989, accu-50: 89.52%, iou: 81.32%, f1: 89.39%, 224.85ms
@20230605_2150 [EP 19/500] took: 0h:8m:20s, ETA: 2d:18h:48m:20s [TRAIN] loss: 0.0580, accu-50: 94.13%, iou: 89.07%, f1: 94.20% 810.44ms [EVAL] [1/138 step] loss: 0.0955, accu-50: 96.35%, iou: 81.90%, f1: 89.74%, 224.46ms
@20230605_2159 [EP 20/500] took: 0h:8m:19s, ETA: 2d:18h:32m:0s [TRAIN] loss: 0.0569, accu-50: 93.93%, iou: 89.26%, f1: 94.31% 810.44ms [EVAL] [1/138 step] loss: 0.1578, accu-50: 89.42%, iou: 72.20%, f1: 83.50%, 224.53ms
@20230605_2207 [EP 21/500] took: 0h:8m:19s, ETA: 2d:18h:23m:41s [TRAIN] loss: 0.0566, accu-50: 94.30%, iou: 89.31%, f1: 94.34% 810.19ms [EVAL] [1/138 step] loss: 0.2430, accu-50: 68.40%, iou: 60.43%, f1: 74.98%, 225.09ms
@20230605_2215 [EP 22/500] took: 0h:8m:19s, ETA: 2d:18h:15m:22s [TRAIN] loss: 0.0551, accu-50: 94.16%, iou: 89.59%, f1: 94.49% 810.05ms [EVAL] [1/138 step] loss: 0.0928, accu-50: 88.08%, iou: 82.34%, f1: 90.00%, 224.90ms
@20230605_2223 [EP 23/500] took: 0h:8m:18s, ETA: 2d:17h:59m:6s [TRAIN] loss: 0.0540, accu-50: 94.47%, iou: 89.77%, f1: 94.60% 810.28ms [EVAL] [1/138 step] loss: 0.1658, accu-50: 91.35%, iou: 71.01%, f1: 82.70%, 224.93ms
@20230605_2231 [EP 24/500] took: 0h:8m:18s, ETA: 2d:17h:50m:48s [TRAIN] loss: 0.0521, accu-50: 94.64%, iou: 90.11%, f1: 94.79% 810.05ms [EVAL] [1/138 step] loss: 0.0735, accu-50: 90.11%, iou: 85.61%, f1: 91.93%, 224.93ms
@20230605_2240 [EP 25/500] took: 0h:8m:18s, ETA: 2d:17h:42m:30s [TRAIN] loss: 0.0507, accu-50: 94.73%, iou: 90.36%, f1: 94.93% 810.10ms [EVAL] [1/138 step] loss: 0.0654, accu-50: 92.20%, iou: 87.02%, f1: 92.74%, 224.77ms
@20230605_2248 [EP 26/500] took: 0h:8m:18s, ETA: 2d:17h:34m:12s [TRAIN] loss: 0.0509, accu-50: 94.66%, iou: 90.34%, f1: 94.91% 810.23ms [EVAL] [1/138 step] loss: 0.8353, accu-50: 92.84%, iou: 8.80%, f1: 15.75%, 224.67ms
@20230605_2256 [EP 27/500] took: 0h:8m:17s, ETA: 2d:17h:18m:1s [TRAIN] loss: 0.0501, accu-50: 94.95%, iou: 90.48%, f1: 94.99% 809.75ms [EVAL] [1/138 step] loss: 0.0925, accu-50: 89.67%, iou: 82.40%, f1: 90.03%, 224.69ms
@20230605_2304 [EP 28/500] took: 0h:8m:17s, ETA: 2d:17h:9m:44s [TRAIN] loss: 0.0484, accu-50: 94.97%, iou: 90.78%, f1: 95.16% 809.90ms [EVAL] [1/138 step] loss: 0.1129, accu-50: 92.93%, iou: 79.07%, f1: 87.99%, 224.87ms
@20230605_2312 [EP 29/500] took: 0h:8m:17s, ETA: 2d:17h:1m:27s [TRAIN] loss: 0.0481, accu-50: 95.04%, iou: 90.84%, f1: 95.19% 809.80ms [EVAL] [1/138 step] loss: 0.2288, accu-50: 94.37%, iou: 62.38%, f1: 76.40%, 225.01ms
@20230605_2321 [EP 30/500] took: 0h:8m:16s, ETA: 2d:16h:45m:20s [TRAIN] loss: 0.0472, accu-50: 95.03%, iou: 91.00%, f1: 95.28% 809.72ms [EVAL] [1/138 step] loss: 0.7696, accu-50: 94.86%, iou: 12.89%, f1: 22.32%, 224.46ms
@20230605_2329 [EP 31/500] took: 0h:8m:16s, ETA: 2d:16h:37m:4s [TRAIN] loss: 0.0467, accu-50: 95.11%, iou: 91.09%, f1: 95.33% 809.80ms [EVAL] [1/138 step] loss: 0.0872, accu-50: 86.71%, iou: 83.26%, f1: 90.56%, 224.81ms
@20230605_2337 [EP 32/500] took: 0h:8m:16s, ETA: 2d:16h:28m:48s [TRAIN] loss: 0.0467, accu-50: 95.27%, iou: 91.10%, f1: 95.33% 809.78ms [EVAL] [1/138 step] loss: 0.1661, accu-50: 81.81%, iou: 70.95%, f1: 82.67%, 224.59ms
@20230605_2345 [EP 33/500] took: 0h:8m:16s, ETA: 2d:16h:20m:32s [TRAIN] loss: 0.0452, accu-50: 95.37%, iou: 91.37%, f1: 95.48% 809.88ms [EVAL] [1/138 step] loss: 0.0772, accu-50: 94.06%, iou: 84.98%, f1: 91.56%, 224.67ms
@20230605_2353 [EP 34/500] took: 0h:8m:15s, ETA: 2d:16h:4m:30s [TRAIN] loss: 0.0454, accu-50: 95.34%, iou: 91.33%, f1: 95.46% 809.66ms [EVAL] [1/138 step] loss: 0.4433, accu-50: 85.14%, iou: 38.59%, f1: 54.95%, 224.81ms
@20230606_0001 [EP 35/500] took: 0h:8m:15s, ETA: 2d:15h:56m:15s [TRAIN] loss: 0.0458, accu-50: 95.37%, iou: 91.26%, f1: 95.42% 809.61ms [EVAL] [1/138 step] loss: 0.0692, accu-50: 92.87%, iou: 86.36%, f1: 92.36%, 225.06ms
@20230606_0010 [EP 36/500] took: 0h:8m:15s, ETA: 2d:15h:48m:0s [TRAIN] loss: 0.0449, accu-50: 95.50%, iou: 91.42%, f1: 95.51% 809.39ms [EVAL] [1/138 step] loss: 0.0581, accu-50: 92.32%, iou: 88.31%, f1: 93.47%, 224.49ms
@20230606_0018 [EP 37/500] took: 0h:8m:15s, ETA: 2d:15h:39m:45s [TRAIN] loss: 0.0435, accu-50: 95.70%, iou: 91.68%, f1: 95.65% 809.53ms [EVAL] [1/138 step] loss: 0.3241, accu-50: 52.80%, iou: 50.61%, f1: 66.87%, 224.56ms
@20230606_0026 [EP 38/500] took: 0h:8m:15s, ETA: 2d:15h:31m:30s [TRAIN] loss: 0.0438, accu-50: 95.52%, iou: 91.62%, f1: 95.62% 809.61ms [EVAL] [1/138 step] loss: 0.0718, accu-50: 90.11%, iou: 85.91%, f1: 92.10%, 224.69ms
@20230606_0034 [EP 39/500] took: 0h:8m:15s, ETA: 2d:15h:23m:15s [TRAIN] loss: 0.0437, accu-50: 95.57%, iou: 91.63%, f1: 95.63% 809.45ms [EVAL] [1/138 step] loss: 0.0637, accu-50: 91.60%, iou: 87.33%, f1: 92.92%, 225.26ms
@20230606_0042 [EP 40/500] took: 0h:8m:14s, ETA: 2d:15h:7m:20s [TRAIN] loss: 0.0437, accu-50: 95.56%, iou: 91.63%, f1: 95.63% 809.65ms [EVAL] [1/138 step] loss: 0.2135, accu-50: 88.69%, iou: 64.35%, f1: 77.93%, 224.52ms
@20230606_0050 [EP 41/500] took: 0h:8m:14s, ETA: 2d:14h:59m:6s [TRAIN] loss: 0.0437, accu-50: 95.45%, iou: 91.64%, f1: 95.63% 809.39ms [EVAL] [1/138 step] loss: 0.0766, accu-50: 92.60%, iou: 85.08%, f1: 91.62%, 224.81ms
@20230606_0058 [EP 42/500] took: 0h:8m:14s, ETA: 2d:14h:50m:52s [TRAIN] loss: 0.0418, accu-50: 95.77%, iou: 91.98%, f1: 95.82% 809.19ms [EVAL] [1/138 step] loss: 0.1257, accu-50: 90.45%, iou: 77.06%, f1: 86.71%, 224.60ms
