

** [etri] Launch Training on 20230610_1522
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.4,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.005408663768321276,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_1756 [EP 18/500] took: 0h:8m:32s, ETA: 2d:20h:33m:4s [TRAIN] loss: 0.0589, accu-50: 93.87%, iou: 88.90%, f1: 94.11% 841.88ms [EVAL] [138/138 step] loss: 0.1076, accu-50: 89.09%, iou: 80.67%, f1: 89.24%, 247.46ms
@20230610_1805 [EP 19/500] took: 0h:8m:31s, ETA: 2d:20h:16m:31s [TRAIN] loss: 0.0582, accu-50: 93.98%, iou: 89.03%, f1: 94.18% 829.85ms [EVAL] [138/138 step] loss: 0.9372, accu-50: 86.25%, iou: 3.47%, f1: 6.28%, 226.79ms
@20230610_1813 [EP 20/500] took: 0h:8m:31s, ETA: 2d:20h:8m:0s [TRAIN] loss: 0.0585, accu-50: 94.21%, iou: 88.98%, f1: 94.15% 817.02ms [EVAL] [138/138 step] loss: 0.0833, accu-50: 91.85%, iou: 84.65%, f1: 91.67%, 237.91ms
@20230610_1822 [EP 21/500] took: 0h:8m:31s, ETA: 2d:19h:59m:29s [TRAIN] loss: 0.0575, accu-50: 93.79%, iou: 89.15%, f1: 94.25% 874.39ms [EVAL] [138/138 step] loss: 0.0905, accu-50: 89.27%, iou: 83.49%, f1: 90.95%, 242.07ms
@20230610_1830 [EP 22/500] took: 0h:8m:31s, ETA: 2d:19h:50m:58s [TRAIN] loss: 0.0562, accu-50: 94.20%, iou: 89.38%, f1: 94.38% 844.23ms [EVAL] [138/138 step] loss: 0.0947, accu-50: 91.04%, iou: 82.74%, f1: 90.53%, 230.82ms
@20230610_1839 [EP 23/500] took: 0h:8m:31s, ETA: 2d:19h:42m:27s [TRAIN] loss: 0.0554, accu-50: 94.40%, iou: 89.52%, f1: 94.46% 835.38ms [EVAL] [138/138 step] loss: 0.2198, accu-50: 98.35%, iou: 64.14%, f1: 78.02%, 232.25ms
@20230610_1847 [EP 24/500] took: 0h:8m:31s, ETA: 2d:19h:33m:56s [TRAIN] loss: 0.0536, accu-50: 94.57%, iou: 89.84%, f1: 94.64% 833.84ms [EVAL] [138/138 step] loss: 0.0846, accu-50: 89.31%, iou: 84.43%, f1: 91.54%, 235.01ms
@20230610_1855 [EP 25/500] took: 0h:8m:30s, ETA: 2d:19h:17m:30s [TRAIN] loss: 0.0530, accu-50: 94.71%, iou: 89.96%, f1: 94.70% 822.56ms [EVAL] [138/138 step] loss: 0.1304, accu-50: 87.39%, iou: 77.05%, f1: 86.96%, 226.74ms
@20230610_1903 [EP 26/500] took: 0h:8m:29s, ETA: 2d:19h:1m:6s [TRAIN] loss: 0.0519, accu-50: 94.57%, iou: 90.15%, f1: 94.81% 811.35ms [EVAL] [138/138 step] loss: 0.2473, accu-50: 81.18%, iou: 60.66%, f1: 75.27%, 226.29ms
@20230610_1912 [EP 27/500] took: 0h:8m:28s, ETA: 2d:18h:44m:44s [TRAIN] loss: 0.0510, accu-50: 94.84%, iou: 90.30%, f1: 94.90% 811.28ms [EVAL] [138/138 step] loss: 0.0837, accu-50: 96.57%, iou: 84.58%, f1: 91.63%, 226.55ms
