@20230811_2049 @20230811_2049 [EP 24/300] lr: 0.0005693787825293839, took: 61.53s (avg: 61.53s), ETA: 0d:4h:40m:36s [TRAIN] loss: 439.0910, iou: 0.6337, f1: 0.7731 [EVAL] loss: 842.5562, iou: 0.5705, f1: 0.7249
@20230811_2050 @20230811_2050 [EP 25/300] lr: 0.0005626195343211293, took: 61.47s (avg: 61.47s), ETA: 0d:4h:39m:35s [TRAIN] loss: 420.6360, iou: 0.6441, f1: 0.7810 [EVAL] loss: 737.6988, iou: 0.6186, f1: 0.7632
@20230811_2051 @20230811_2051 [EP 26/300] lr: 0.000556018843781203, took: 61.49s (avg: 61.49s), ETA: 0d:4h:38m:34s [TRAIN] loss: 414.0779, iou: 0.6541, f1: 0.7884 [EVAL] loss: 856.0029, iou: 0.6006, f1: 0.7489
@20230811_2052 @20230811_2052 [EP 27/300] lr: 0.0005495712975971401, took: 61.44s (avg: 61.44s), ETA: 0d:4h:37m:33s [TRAIN] loss: 543.1491, iou: 0.6256, f1: 0.7653 [EVAL] loss: 123860.3359, iou: 0.0003, f1: 0.0005
@20230811_2053 @20230811_2053 [EP 28/300] lr: 0.0005432715406641364, took: 61.61s (avg: 61.61s), ETA: 0d:4h:36m:32s [TRAIN] loss: 655.4644, iou: 0.6107, f1: 0.7553 [EVAL] loss: 1199.5144, iou: 0.6018, f1: 0.7492
@20230811_2054 @20230811_2054 [EP 29/300] lr: 0.0005371146253310144, took: 61.50s (avg: 61.50s), ETA: 0d:4h:35m:31s [TRAIN] loss: 448.6604, iou: 0.6646, f1: 0.7965 [EVAL] loss: 1165.0568, iou: 0.5556, f1: 0.7117
@20230811_2055 @20230811_2055 [EP 30/300] lr: 0.0005310956621542573, took: 61.50s (avg: 61.50s), ETA: 0d:4h:34m:30s [TRAIN] loss: 406.2642, iou: 0.6822, f1: 0.8092 [EVAL] loss: 1461.9004, iou: 0.5228, f1: 0.6846
@20230811_2056 @20230811_2056 [EP 31/300] lr: 0.000525210052728653, took: 61.57s (avg: 61.57s), ETA: 0d:4h:33m:29s [TRAIN] loss: 410.4117, iou: 0.6886, f1: 0.8138 [EVAL] loss: 1695.2986, iou: 0.4816, f1: 0.6462
@20230811_2058 @20230811_2058 [EP 32/300] lr: 0.0005194534896872938, took: 61.50s (avg: 61.50s), ETA: 0d:4h:32m:28s [TRAIN] loss: 412.6563, iou: 0.6908, f1: 0.8152 [EVAL] loss: 1177.5300, iou: 0.5389, f1: 0.6975
@20230811_2059 @20230811_2059 [EP 33/300] lr: 0.000513821782078594, took: 61.44s (avg: 61.44s), ETA: 0d:4h:31m:27s [TRAIN] loss: 429.8270, iou: 0.6919, f1: 0.8160 [EVAL] loss: 1035.3864, iou: 0.5627, f1: 0.7179
@20230811_2100 @20230811_2100 [EP 34/300] lr: 0.0005083108553662896, took: 61.46s (avg: 61.46s), ETA: 0d:4h:30m:26s [TRAIN] loss: 415.4185, iou: 0.7016, f1: 0.8230 [EVAL] loss: 1358.5488, iou: 0.5184, f1: 0.6798
@20230811_2101 @20230811_2101 [EP 35/300] lr: 0.0005029168678447604, took: 61.58s (avg: 61.58s), ETA: 0d:4h:29m:25s [TRAIN] loss: 387.3331, iou: 0.7172, f1: 0.8338 [EVAL] loss: 1054.3431, iou: 0.6104, f1: 0.7563
@20230811_2102 @20230811_2102 [EP 36/300] lr: 0.0004976362106390297, took: 61.37s (avg: 61.37s), ETA: 0d:4h:28m:24s [TRAIN] loss: 373.6760, iou: 0.7272, f1: 0.8407 [EVAL] loss: 951.8038, iou: 0.6552, f1: 0.7903
@20230811_2103 @20230811_2103 [EP 37/300] lr: 0.000492465274874121, took: 61.49s (avg: 61.49s), ETA: 0d:4h:27m:23s [TRAIN] loss: 360.2629, iou: 0.7368, f1: 0.8472 [EVAL] loss: 936.3277, iou: 0.6243, f1: 0.7671
@20230811_2104 @20230811_2104 [EP 38/300] lr: 0.0004874006554018706, took: 61.53s (avg: 61.53s), ETA: 0d:4h:26m:22s [TRAIN] loss: 366.9464, iou: 0.7417, f1: 0.8504 [EVAL] loss: 1031.1271, iou: 0.6704, f1: 0.8015
@20230811_2105 @20230811_2105 [EP 39/300] lr: 0.00048243917990475893, took: 62.42s (avg: 62.42s), ETA: 0d:4h:29m:42s [TRAIN] loss: 374.6790, iou: 0.7417, f1: 0.8505 [EVAL] loss: 984.4614, iou: 0.5957, f1: 0.7445
@20230811_2106 @20230811_2106 [EP 40/300] lr: 0.00047757767606526613, took: 61.56s (avg: 61.56s), ETA: 0d:4h:24m:20s [TRAIN] loss: 366.1781, iou: 0.7578, f1: 0.8612 [EVAL] loss: 1369.2266, iou: 0.5380, f1: 0.6973
@20230811_2107 @20230811_2107 [EP 41/300] lr: 0.0004728132043965161, took: 61.60s (avg: 61.60s), ETA: 0d:4h:23m:19s [TRAIN] loss: 365.4990, iou: 0.7610, f1: 0.8633 [EVAL] loss: 901.2977, iou: 0.6453, f1: 0.7833
@20230811_2108 @20230811_2108 [EP 42/300] lr: 0.0004681428545154631, took: 61.65s (avg: 61.65s), ETA: 0d:4h:22m:18s [TRAIN] loss: 359.3783, iou: 0.7634, f1: 0.8648 [EVAL] loss: 803.7711, iou: 0.6739, f1: 0.8041
@20230811_2110 @20230811_2110 [EP 43/300] lr: 0.00046356386155821383, took: 61.42s (avg: 61.42s), ETA: 0d:4h:21m:17s [TRAIN] loss: 351.7494, iou: 0.7726, f1: 0.8708 [EVAL] loss: 832.3286, iou: 0.6523, f1: 0.7882
@20230811_2111 @20230811_2111 [EP 44/300] lr: 0.00045907357707619667, took: 61.56s (avg: 61.56s), ETA: 0d:4h:20m:16s [TRAIN] loss: 336.3923, iou: 0.7812, f1: 0.8763 [EVAL] loss: 912.6680, iou: 0.6813, f1: 0.8091
