@20230727_2139 [EP 20/500] lr: 0.008321468718349934, took: 0h:4m:54s, ETA: 1d:15h:12m:0s [TRAIN] loss: 0.0799, accu-50: 91.87%, iou: 85.24%, f1: 92.01% 692.19ms [EVAL] [117/117 step] loss: 0.9150, accu-50: 98.05%, iou: 4.69%, f1: 8.50%, 190.30ms
@20230727_2144 [EP 21/500] lr: 0.008245367556810379, took: 0h:4m:54s, ETA: 1d:15h:7m:6s [TRAIN] loss: 0.0780, accu-50: 92.17%, iou: 85.56%, f1: 92.20% 691.93ms [EVAL] [117/117 step] loss: 0.5629, accu-50: 32.71%, iou: 28.21%, f1: 43.71%, 190.21ms
@20230727_2149 [EP 22/500] lr: 0.008169961161911488, took: 0h:4m:54s, ETA: 1d:15h:2m:12s [TRAIN] loss: 0.0774, accu-50: 92.38%, iou: 85.67%, f1: 92.26% 691.86ms [EVAL] [117/117 step] loss: 0.1901, accu-50: 93.61%, iou: 68.29%, f1: 80.99%, 190.14ms
@20230727_2153 [EP 23/500] lr: 0.008095244877040386, took: 0h:4m:53s, ETA: 1d:14h:49m:21s [TRAIN] loss: 0.0742, accu-50: 92.47%, iou: 86.23%, f1: 92.58% 691.79ms [EVAL] [117/117 step] loss: 0.5981, accu-50: 96.29%, iou: 25.73%, f1: 40.19%, 189.93ms
@20230727_2158 [EP 24/500] lr: 0.008021212182939053, took: 0h:4m:53s, ETA: 1d:14h:44m:28s [TRAIN] loss: 0.0715, accu-50: 92.97%, iou: 86.69%, f1: 92.85% 692.02ms [EVAL] [117/117 step] loss: 0.9675, accu-50: 96.78%, iou: 1.73%, f1: 3.25%, 190.26ms
@20230727_2203 [EP 25/500] lr: 0.007947856560349464, took: 0h:4m:53s, ETA: 1d:14h:39m:35s [TRAIN] loss: 0.0716, accu-50: 92.70%, iou: 86.67%, f1: 92.84% 691.81ms [EVAL] [117/117 step] loss: 0.9411, accu-50: 91.11%, iou: 3.20%, f1: 5.89%, 190.10ms
@20230727_2208 [EP 26/500] lr: 0.0078751714900136, took: 0h:4m:53s, ETA: 1d:14h:34m:42s [TRAIN] loss: 0.0718, accu-50: 92.96%, iou: 86.64%, f1: 92.82% 691.58ms [EVAL] [117/117 step] loss: 0.9025, accu-50: 90.77%, iou: 5.21%, f1: 9.75%, 190.40ms
@20230727_2213 [EP 27/500] lr: 0.0078031509183347225, took: 0h:4m:53s, ETA: 1d:14h:29m:49s [TRAIN] loss: 0.0693, accu-50: 93.07%, iou: 87.07%, f1: 93.07% 691.86ms [EVAL] [117/117 step] loss: 0.0995, accu-50: 93.69%, iou: 81.95%, f1: 90.05%, 190.31ms
@20230727_2218 [EP 28/500] lr: 0.007731789257377386, took: 0h:4m:53s, ETA: 1d:14h:24m:56s [TRAIN] loss: 0.0692, accu-50: 93.19%, iou: 87.08%, f1: 93.08% 691.81ms [EVAL] [117/117 step] loss: 0.1598, accu-50: 84.88%, iou: 72.60%, f1: 84.02%, 190.03ms
@20230727_2222 [EP 29/500] lr: 0.007661079987883568, took: 0h:4m:52s, ETA: 1d:14h:12m:12s [TRAIN] loss: 0.0675, accu-50: 93.33%, iou: 87.39%, f1: 93.25% 691.81ms [EVAL] [117/117 step] loss: 0.9292, accu-50: 98.21%, iou: 3.87%, f1: 7.08%, 190.13ms
@20230727_2227 [EP 30/500] lr: 0.00759101752191782, took: 0h:4m:52s, ETA: 1d:14h:7m:20s [TRAIN] loss: 0.0667, accu-50: 93.42%, iou: 87.52%, f1: 93.33% 691.85ms [EVAL] [117/117 step] loss: 0.1253, accu-50: 94.69%, iou: 77.80%, f1: 87.47%, 190.28ms
@20230727_2232 [EP 31/500] lr: 0.007521595805883408, took: 0h:4m:52s, ETA: 1d:14h:2m:28s [TRAIN] loss: 0.0664, accu-50: 93.41%, iou: 87.58%, f1: 93.36% 691.95ms [EVAL] [117/117 step] loss: 0.3541, accu-50: 90.01%, iou: 48.20%, f1: 64.59%, 190.16ms
