@20230805_1919 [EP 520/1000] lr: 6.734261842211708e-05, took: 0h:4m:56s, ETA: 1d:15h:28m:0s [TRAIN] loss: 0.0208, accu-50: 97.95%, iou: 95.94%, f1: 97.92% 690.17ms [EVAL] [117/117 step] loss: 0.0556, accu-50: 94.56%, iou: 89.49%, f1: 94.44%, 190.03ms
@20230805_1924 [EP 521/1000] lr: 6.672675226582214e-05, took: 0h:4m:56s, ETA: 1d:15h:23m:4s [TRAIN] loss: 0.0207, accu-50: 97.95%, iou: 95.94%, f1: 97.93% 690.09ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.62%, iou: 89.51%, f1: 94.45%, 190.04ms
@20230805_1929 [EP 522/1000] lr: 6.611651770072058e-05, took: 0h:4m:56s, ETA: 1d:15h:18m:8s [TRAIN] loss: 0.0207, accu-50: 97.96%, iou: 95.95%, f1: 97.93% 689.90ms [EVAL] [117/117 step] loss: 0.0556, accu-50: 94.52%, iou: 89.48%, f1: 94.44%, 189.95ms
@20230805_1933 [EP 523/1000] lr: 6.551187107106671e-05, took: 0h:4m:55s, ETA: 1d:15h:5m:15s [TRAIN] loss: 0.0206, accu-50: 97.96%, iou: 95.96%, f1: 97.94% 690.11ms [EVAL] [117/117 step] loss: 0.0560, accu-50: 94.48%, iou: 89.41%, f1: 94.40%, 189.91ms
@20230805_1938 [EP 524/1000] lr: 6.4912746893242e-05, took: 0h:4m:55s, ETA: 1d:15h:0m:20s [TRAIN] loss: 0.0206, accu-50: 97.97%, iou: 95.97%, f1: 97.94% 690.02ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.64%, iou: 89.51%, f1: 94.45%, 189.93ms
@20230805_1943 [EP 525/1000] lr: 6.431910151150078e-05, took: 0h:4m:55s, ETA: 1d:14h:55m:25s [TRAIN] loss: 0.0205, accu-50: 97.97%, iou: 95.98%, f1: 97.95% 690.49ms [EVAL] [117/117 step] loss: 0.0556, accu-50: 94.55%, iou: 89.49%, f1: 94.44%, 190.03ms
@20230805_1948 [EP 526/1000] lr: 6.373089127009735e-05, took: 0h:4m:54s, ETA: 1d:14h:42m:36s [TRAIN] loss: 0.0205, accu-50: 97.97%, iou: 95.98%, f1: 97.95% 690.27ms [EVAL] [117/117 step] loss: 0.0558, accu-50: 94.52%, iou: 89.45%, f1: 94.42%, 190.03ms
@20230805_1953 [EP 527/1000] lr: 6.31480579613708e-05, took: 0h:4m:54s, ETA: 1d:14h:37m:42s [TRAIN] loss: 0.0205, accu-50: 97.98%, iou: 95.99%, f1: 97.95% 690.11ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.60%, iou: 89.51%, f1: 94.45%, 189.94ms
@20230805_1958 [EP 528/1000] lr: 6.257055065361783e-05, took: 0h:4m:54s, ETA: 1d:14h:32m:48s [TRAIN] loss: 0.0204, accu-50: 97.98%, iou: 96.00%, f1: 97.96% 690.47ms [EVAL] [117/117 step] loss: 0.0558, accu-50: 94.48%, iou: 89.46%, f1: 94.42%, 190.13ms
@20230805_2002 [EP 529/1000] lr: 6.199833296705037e-05, took: 0h:4m:54s, ETA: 1d:14h:27m:54s [TRAIN] loss: 0.0204, accu-50: 97.98%, iou: 96.01%, f1: 97.96% 690.24ms [EVAL] [117/117 step] loss: 0.0556, accu-50: 94.56%, iou: 89.50%, f1: 94.44%, 190.03ms
@20230805_2007 [EP 530/1000] lr: 6.14313394180499e-05, took: 0h:4m:54s, ETA: 1d:14h:23m:0s [TRAIN] loss: 0.0203, accu-50: 97.99%, iou: 96.02%, f1: 97.97% 690.43ms [EVAL] [117/117 step] loss: 0.0558, accu-50: 94.53%, iou: 89.46%, f1: 94.42%, 190.09ms
