@20230830_2109 @20230830_2109 [EP 24/500] lr: 6.026509072398767e-05, took: 60.98s (avg: 60.98s), ETA: 0d:7h:56m:0s [TRAIN] loss: 0.0134, iou: 0.8803, f1: 0.9362 [EVAL] loss: 0.0397, iou: 0.6959, f1: 0.8192
@20230830_2110 @20230830_2110 [EP 25/500] lr: 5.950838385615498e-05, took: 61.06s (avg: 61.06s), ETA: 0d:8h:2m:55s [TRAIN] loss: 0.0135, iou: 0.8799, f1: 0.9360 [EVAL] loss: 0.0265, iou: 0.7836, f1: 0.8780
@20230830_2111 @20230830_2111 [EP 26/500] lr: 5.877044895896688e-05, took: 60.98s (avg: 60.98s), ETA: 0d:7h:54m:0s [TRAIN] loss: 0.0134, iou: 0.8803, f1: 0.9361 [EVAL] loss: 0.0252, iou: 0.7930, f1: 0.8840
@20230830_2112 @20230830_2112 [EP 27/500] lr: 5.8050587540492415e-05, took: 61.03s (avg: 61.03s), ETA: 0d:8h:0m:53s [TRAIN] loss: 0.0127, iou: 0.8866, f1: 0.9397 [EVAL] loss: 0.0280, iou: 0.7733, f1: 0.8714
@20230830_2113 @20230830_2113 [EP 28/500] lr: 5.734814840252511e-05, took: 61.16s (avg: 61.16s), ETA: 0d:7h:59m:52s [TRAIN] loss: 0.0120, iou: 0.8919, f1: 0.9428 [EVAL] loss: 0.0251, iou: 0.7932, f1: 0.8839
@20230830_2114 @20230830_2114 [EP 29/500] lr: 5.666250581271015e-05, took: 61.10s (avg: 61.10s), ETA: 0d:7h:58m:51s [TRAIN] loss: 0.0118, iou: 0.8942, f1: 0.9440 [EVAL] loss: 0.0201, iou: 0.8295, f1: 0.9064
@20230830_2115 @20230830_2115 [EP 30/500] lr: 5.5993066780501977e-05, took: 61.07s (avg: 61.07s), ETA: 0d:7h:57m:50s [TRAIN] loss: 0.0118, iou: 0.8941, f1: 0.9440 [EVAL] loss: 0.0203, iou: 0.8282, f1: 0.9055
@20230830_2117 @20230830_2116 [EP 31/500] lr: 5.533925650524907e-05, took: 61.15s (avg: 61.15s), ETA: 0d:7h:56m:49s [TRAIN] loss: 0.0119, iou: 0.8929, f1: 0.9433 [EVAL] loss: 0.0290, iou: 0.7671, f1: 0.8674
@20230830_2118 @20230830_2118 [EP 32/500] lr: 5.470054020406678e-05, took: 61.39s (avg: 61.39s), ETA: 0d:7h:55m:48s [TRAIN] loss: 0.0119, iou: 0.8928, f1: 0.9433 [EVAL] loss: 0.0274, iou: 0.7782, f1: 0.8745
@20230830_2119 @20230830_2119 [EP 33/500] lr: 5.4076401283964515e-05, took: 61.21s (avg: 61.21s), ETA: 0d:7h:54m:47s [TRAIN] loss: 0.0114, iou: 0.8976, f1: 0.9460 [EVAL] loss: 0.0276, iou: 0.7764, f1: 0.8729
@20230830_2120 @20230830_2120 [EP 34/500] lr: 5.3466348617803305e-05, took: 60.99s (avg: 60.99s), ETA: 0d:7h:46m:0s [TRAIN] loss: 0.0109, iou: 0.9013, f1: 0.9480 [EVAL] loss: 0.0233, iou: 0.8077, f1: 0.8930
@20230830_2121 @20230830_2121 [EP 35/500] lr: 5.286989835440181e-05, took: 61.34s (avg: 61.34s), ETA: 0d:7h:52m:45s [TRAIN] loss: 0.0109, iou: 0.9014, f1: 0.9480 [EVAL] loss: 0.0271, iou: 0.7815, f1: 0.8766
@20230830_2122 @20230830_2122 [EP 36/500] lr: 5.2286610298324376e-05, took: 61.14s (avg: 61.14s), ETA: 0d:7h:51m:44s [TRAIN] loss: 0.0111, iou: 0.8998, f1: 0.9472 [EVAL] loss: 0.0297, iou: 0.7631, f1: 0.8648
@20230830_2123 @20230830_2123 [EP 37/500] lr: 5.171605516807176e-05, took: 61.04s (avg: 61.04s), ETA: 0d:7h:50m:43s [TRAIN] loss: 0.0115, iou: 0.8970, f1: 0.9456 [EVAL] loss: 0.0299, iou: 0.7615, f1: 0.8638
@20230830_2124 @20230830_2124 [EP 38/500] lr: 5.115781823405996e-05, took: 60.98s (avg: 60.98s), ETA: 0d:7h:42m:0s [TRAIN] loss: 0.0118, iou: 0.8943, f1: 0.9441 [EVAL] loss: 0.0262, iou: 0.7876, f1: 0.8805
@20230830_2125 @20230830_2125 [EP 39/500] lr: 5.0611502956599e-05, took: 61.07s (avg: 61.07s), ETA: 0d:7h:48m:41s [TRAIN] loss: 0.0116, iou: 0.8963, f1: 0.9452 [EVAL] loss: 0.0250, iou: 0.7955, f1: 0.8855
@20230830_2126 @20230830_2126 [EP 40/500] lr: 5.0076730985892937e-05, took: 61.31s (avg: 61.31s), ETA: 0d:7h:47m:40s [TRAIN] loss: 0.0109, iou: 0.9021, f1: 0.9484 [EVAL] loss: 0.0234, iou: 0.8074, f1: 0.8928
@20230830_2127 @20230830_2127 [EP 41/500] lr: 4.9553142162039876e-05, took: 61.06s (avg: 61.06s), ETA: 0d:7h:46m:39s [TRAIN] loss: 0.0103, iou: 0.9071, f1: 0.9512 [EVAL] loss: 0.0204, iou: 0.8289, f1: 0.9060
@20230830_2128 @20230830_2128 [EP 42/500] lr: 4.904039087705314e-05, took: 61.04s (avg: 61.04s), ETA: 0d:7h:45m:38s [TRAIN] loss: 0.0100, iou: 0.9092, f1: 0.9523 [EVAL] loss: 0.0233, iou: 0.8075, f1: 0.8929
@20230830_2129 @20230830_2129 [EP 43/500] lr: 4.853814243688248e-05, took: 61.07s (avg: 61.07s), ETA: 0d:7h:44m:37s [TRAIN] loss: 0.0100, iou: 0.9091, f1: 0.9523 [EVAL] loss: 0.0220, iou: 0.8176, f1: 0.8991
@20230830_2130 @20230830_2130 [EP 44/500] lr: 4.804607669939287e-05, took: 61.18s (avg: 61.18s), ETA: 0d:7h:43m:36s [TRAIN] loss: 0.0105, iou: 0.9054, f1: 0.9502 [EVAL] loss: 0.0222, iou: 0.8163, f1: 0.8983
@20230830_2131 @20230830_2131 [EP 45/500] lr: 4.7563884436385706e-05, took: 61.98s (avg: 61.98s), ETA: 0d:7h:42m:35s [TRAIN] loss: 0.0106, iou: 0.9044, f1: 0.9497 [EVAL] loss: 0.0334, iou: 0.7387, f1: 0.8486
@20230830_2132 @20230830_2132 [EP 46/500] lr: 4.709127824753523e-05, took: 61.03s (avg: 61.03s), ETA: 0d:7h:41m:34s [TRAIN] loss: 0.0104, iou: 0.9064, f1: 0.9508 [EVAL] loss: 0.0301, iou: 0.7606, f1: 0.8631
